Sample	Population code	Population	Superpopulation	Panel	N_individuals	Source_dataset
HG02922	ESN	Esan	African	AFR	99	
HG02923	ESN	Esan	African	AFR	99	
HG02938	ESN	Esan	African	AFR	99	
HG02941	ESN	Esan	African	AFR	99	
HG02943	ESN	Esan	African	AFR	99	
HG02944	ESN	Esan	African	AFR	99	
HG02946	ESN	Esan	African	AFR	99	
HG02952	ESN	Esan	African	AFR	99	
HG02953	ESN	Esan	African	AFR	99	
HG02968	ESN	Esan	African	AFR	99	
HG02970	ESN	Esan	African	AFR	99	
HG02971	ESN	Esan	African	AFR	99	
HG02973	ESN	Esan	African	AFR	99	
HG02974	ESN	Esan	African	AFR	99	
HG02976	ESN	Esan	African	AFR	99	
HG02977	ESN	Esan	African	AFR	99	
HG02981	ESN	Esan	African	AFR	99	
HG03099	ESN	Esan	African	AFR	99	
HG03100	ESN	Esan	African	AFR	99	
HG03103	ESN	Esan	African	AFR	99	
HG03105	ESN	Esan	African	AFR	99	
HG03108	ESN	Esan	African	AFR	99	
HG03109	ESN	Esan	African	AFR	99	
HG03111	ESN	Esan	African	AFR	99	
HG03112	ESN	Esan	African	AFR	99	
HG03114	ESN	Esan	African	AFR	99	
HG03115	ESN	Esan	African	AFR	99	
HG03118	ESN	Esan	African	AFR	99	
HG03120	ESN	Esan	African	AFR	99	
HG03121	ESN	Esan	African	AFR	99	
HG03123	ESN	Esan	African	AFR	99	
HG03124	ESN	Esan	African	AFR	99	
HG03126	ESN	Esan	African	AFR	99	
HG03127	ESN	Esan	African	AFR	99	
HG03129	ESN	Esan	African	AFR	99	
HG03130	ESN	Esan	African	AFR	99	
HG03132	ESN	Esan	African	AFR	99	
HG03133	ESN	Esan	African	AFR	99	
HG03135	ESN	Esan	African	AFR	99	
HG03136	ESN	Esan	African	AFR	99	
HG03139	ESN	Esan	African	AFR	99	
HG03157	ESN	Esan	African	AFR	99	
HG03159	ESN	Esan	African	AFR	99	
HG03160	ESN	Esan	African	AFR	99	
HG03162	ESN	Esan	African	AFR	99	
HG03163	ESN	Esan	African	AFR	99	
HG03166	ESN	Esan	African	AFR	99	
HG03168	ESN	Esan	African	AFR	99	
HG03169	ESN	Esan	African	AFR	99	
HG03172	ESN	Esan	African	AFR	99	
HG03175	ESN	Esan	African	AFR	99	
HG03189	ESN	Esan	African	AFR	99	
HG03190	ESN	Esan	African	AFR	99	
HG03193	ESN	Esan	African	AFR	99	
HG03195	ESN	Esan	African	AFR	99	
HG03196	ESN	Esan	African	AFR	99	
HG03198	ESN	Esan	African	AFR	99	
HG03199	ESN	Esan	African	AFR	99	
HG03202	ESN	Esan	African	AFR	99	
HG03265	ESN	Esan	African	AFR	99	
HG03267	ESN	Esan	African	AFR	99	
HG03268	ESN	Esan	African	AFR	99	
HG03270	ESN	Esan	African	AFR	99	
HG03271	ESN	Esan	African	AFR	99	
HG03279	ESN	Esan	African	AFR	99	
HG03280	ESN	Esan	African	AFR	99	
HG03291	ESN	Esan	African	AFR	99	
HG03294	ESN	Esan	African	AFR	99	
HG03295	ESN	Esan	African	AFR	99	
HG03297	ESN	Esan	African	AFR	99	
HG03298	ESN	Esan	African	AFR	99	
HG03300	ESN	Esan	African	AFR	99	
HG03301	ESN	Esan	African	AFR	99	
HG03303	ESN	Esan	African	AFR	99	
HG03304	ESN	Esan	African	AFR	99	
HG03311	ESN	Esan	African	AFR	99	
HG03313	ESN	Esan	African	AFR	99	
HG03342	ESN	Esan	African	AFR	99	
HG03343	ESN	Esan	African	AFR	99	
HG03351	ESN	Esan	African	AFR	99	
HG03352	ESN	Esan	African	AFR	99	
HG03354	ESN	Esan	African	AFR	99	
HG03363	ESN	Esan	African	AFR	99	
HG03366	ESN	Esan	African	AFR	99	
HG03367	ESN	Esan	African	AFR	99	
HG03369	ESN	Esan	African	AFR	99	
HG03370	ESN	Esan	African	AFR	99	
HG03372	ESN	Esan	African	AFR	99	
HG03499	ESN	Esan	African	AFR	99	
HG03511	ESN	Esan	African	AFR	99	
HG03514	ESN	Esan	African	AFR	99	
HG03515	ESN	Esan	African	AFR	99	
HG03517	ESN	Esan	African	AFR	99	
HG03518	ESN	Esan	African	AFR	99	
HG03520	ESN	Esan	African	AFR	99	
HG03521	ESN	Esan	African	AFR	99	
HG02461	GWD	Gambian Mandinka	African	AFR	113	
HG02464	GWD	Gambian Mandinka	African	AFR	113	
HG02465	GWD	Gambian Mandinka	African	AFR	113	
HG02562	GWD	Gambian Mandinka	African	AFR	113	
HG02571	GWD	Gambian Mandinka	African	AFR	113	
HG02583	GWD	Gambian Mandinka	African	AFR	113	
HG02585	GWD	Gambian Mandinka	African	AFR	113	
HG02588	GWD	Gambian Mandinka	African	AFR	113	
HG02611	GWD	Gambian Mandinka	African	AFR	113	
HG02620	GWD	Gambian Mandinka	African	AFR	113	
HG02621	GWD	Gambian Mandinka	African	AFR	113	
HG02623	GWD	Gambian Mandinka	African	AFR	113	
HG02624	GWD	Gambian Mandinka	African	AFR	113	
HG02628	GWD	Gambian Mandinka	African	AFR	113	
HG02629	GWD	Gambian Mandinka	African	AFR	113	
HG02642	GWD	Gambian Mandinka	African	AFR	113	
HG02645	GWD	Gambian Mandinka	African	AFR	113	
HG02646	GWD	Gambian Mandinka	African	AFR	113	
HG02666	GWD	Gambian Mandinka	African	AFR	113	
HG02675	GWD	Gambian Mandinka	African	AFR	113	
HG02679	GWD	Gambian Mandinka	African	AFR	113	
HG02703	GWD	Gambian Mandinka	African	AFR	113	
HG02715	GWD	Gambian Mandinka	African	AFR	113	
HG02716	GWD	Gambian Mandinka	African	AFR	113	
HG02756	GWD	Gambian Mandinka	African	AFR	113	
HG02768	GWD	Gambian Mandinka	African	AFR	113	
HG02769	GWD	Gambian Mandinka	African	AFR	113	
HG02771	GWD	Gambian Mandinka	African	AFR	113	
HG02772	GWD	Gambian Mandinka	African	AFR	113	
HG02798	GWD	Gambian Mandinka	African	AFR	113	
HG02804	GWD	Gambian Mandinka	African	AFR	113	
HG02805	GWD	Gambian Mandinka	African	AFR	113	
HG02811	GWD	Gambian Mandinka	African	AFR	113	
HG02813	GWD	Gambian Mandinka	African	AFR	113	
HG02814	GWD	Gambian Mandinka	African	AFR	113	
HG02819	GWD	Gambian Mandinka	African	AFR	113	
HG02820	GWD	Gambian Mandinka	African	AFR	113	
HG02851	GWD	Gambian Mandinka	African	AFR	113	
HG02854	GWD	Gambian Mandinka	African	AFR	113	
HG02860	GWD	Gambian Mandinka	African	AFR	113	
HG02861	GWD	Gambian Mandinka	African	AFR	113	
HG02881	GWD	Gambian Mandinka	African	AFR	113	
HG02882	GWD	Gambian Mandinka	African	AFR	113	
HG02884	GWD	Gambian Mandinka	African	AFR	113	
HG02885	GWD	Gambian Mandinka	African	AFR	113	
HG02887	GWD	Gambian Mandinka	African	AFR	113	
HG02888	GWD	Gambian Mandinka	African	AFR	113	
HG02895	GWD	Gambian Mandinka	African	AFR	113	
HG02896	GWD	Gambian Mandinka	African	AFR	113	
HG02982	GWD	Gambian Mandinka	African	AFR	113	
HG02983	GWD	Gambian Mandinka	African	AFR	113	
HG03024	GWD	Gambian Mandinka	African	AFR	113	
HG03025	GWD	Gambian Mandinka	African	AFR	113	
HG03027	GWD	Gambian Mandinka	African	AFR	113	
HG03028	GWD	Gambian Mandinka	African	AFR	113	
HG03039	GWD	Gambian Mandinka	African	AFR	113	
HG03040	GWD	Gambian Mandinka	African	AFR	113	
HG03048	GWD	Gambian Mandinka	African	AFR	113	
HG03049	GWD	Gambian Mandinka	African	AFR	113	
HG03240	GWD	Gambian Mandinka	African	AFR	113	
HG03241	GWD	Gambian Mandinka	African	AFR	113	
HG03247	GWD	Gambian Mandinka	African	AFR	113	
HG03538	GWD	Gambian Mandinka	African	AFR	113	
HG03052	MSL	Mende	African	AFR	85	
HG03054	MSL	Mende	African	AFR	85	
HG03055	MSL	Mende	African	AFR	85	
HG03057	MSL	Mende	African	AFR	85	
HG03058	MSL	Mende	African	AFR	85	
HG03060	MSL	Mende	African	AFR	85	
HG03061	MSL	Mende	African	AFR	85	
HG03063	MSL	Mende	African	AFR	85	
HG03064	MSL	Mende	African	AFR	85	
HG03066	MSL	Mende	African	AFR	85	
HG03069	MSL	Mende	African	AFR	85	
HG03072	MSL	Mende	African	AFR	85	
HG03073	MSL	Mende	African	AFR	85	
HG03074	MSL	Mende	African	AFR	85	
HG03077	MSL	Mende	African	AFR	85	
HG03078	MSL	Mende	African	AFR	85	
HG03079	MSL	Mende	African	AFR	85	
HG03081	MSL	Mende	African	AFR	85	
HG03082	MSL	Mende	African	AFR	85	
HG03084	MSL	Mende	African	AFR	85	
HG03085	MSL	Mende	African	AFR	85	
HG03086	MSL	Mende	African	AFR	85	
HG03088	MSL	Mende	African	AFR	85	
HG03091	MSL	Mende	African	AFR	85	
HG03095	MSL	Mende	African	AFR	85	
HG03096	MSL	Mende	African	AFR	85	
HG03097	MSL	Mende	African	AFR	85	
HG03209	MSL	Mende	African	AFR	85	
HG03212	MSL	Mende	African	AFR	85	
HG03224	MSL	Mende	African	AFR	85	
HG03225	MSL	Mende	African	AFR	85	
HG03376	MSL	Mende	African	AFR	85	
HG03378	MSL	Mende	African	AFR	85	
HG03380	MSL	Mende	African	AFR	85	
HG03382	MSL	Mende	African	AFR	85	
HG03385	MSL	Mende	African	AFR	85	
HG03388	MSL	Mende	African	AFR	85	
HG03391	MSL	Mende	African	AFR	85	
HG03394	MSL	Mende	African	AFR	85	
HG03397	MSL	Mende	African	AFR	85	
HG03401	MSL	Mende	African	AFR	85	
HG03410	MSL	Mende	African	AFR	85	
HG03419	MSL	Mende	African	AFR	85	
HG03428	MSL	Mende	African	AFR	85	
HG03432	MSL	Mende	African	AFR	85	
HG03433	MSL	Mende	African	AFR	85	
HG03436	MSL	Mende	African	AFR	85	
HG03437	MSL	Mende	African	AFR	85	
HG03439	MSL	Mende	African	AFR	85	
HG03442	MSL	Mende	African	AFR	85	
HG03445	MSL	Mende	African	AFR	85	
HG03446	MSL	Mende	African	AFR	85	
HG03449	MSL	Mende	African	AFR	85	
HG03451	MSL	Mende	African	AFR	85	
HG03452	MSL	Mende	African	AFR	85	
HG03455	MSL	Mende	African	AFR	85	
HG03457	MSL	Mende	African	AFR	85	
HG03458	MSL	Mende	African	AFR	85	
HG03460	MSL	Mende	African	AFR	85	
HG03461	MSL	Mende	African	AFR	85	
HG03464	MSL	Mende	African	AFR	85	
HG03469	MSL	Mende	African	AFR	85	
HG03470	MSL	Mende	African	AFR	85	
HG03472	MSL	Mende	African	AFR	85	
HG03473	MSL	Mende	African	AFR	85	
HG03476	MSL	Mende	African	AFR	85	
HG03478	MSL	Mende	African	AFR	85	
HG03479	MSL	Mende	African	AFR	85	
HG03484	MSL	Mende	African	AFR	85	
HG03485	MSL	Mende	African	AFR	85	
HG03547	MSL	Mende	African	AFR	85	
HG03548	MSL	Mende	African	AFR	85	
HG03556	MSL	Mende	African	AFR	85	
HG03557	MSL	Mende	African	AFR	85	
HG03558	MSL	Mende	African	AFR	85	
HG03559	MSL	Mende	African	AFR	85	
HG03563	MSL	Mende	African	AFR	85	
HG03565	MSL	Mende	African	AFR	85	
HG03567	MSL	Mende	African	AFR	85	
HG03571	MSL	Mende	African	AFR	85	
HG03572	MSL	Mende	African	AFR	85	
HG03575	MSL	Mende	African	AFR	85	
HG03577	MSL	Mende	African	AFR	85	
HG03578	MSL	Mende	African	AFR	85	
HG03583	MSL	Mende	African	AFR	85	
NA18486	YRI	Yoruba	African	AFR	108	
NA18488	YRI	Yoruba	African	AFR	108	
NA18489	YRI	Yoruba	African	AFR	108	
NA18498	YRI	Yoruba	African	AFR	108	
NA18499	YRI	Yoruba	African	AFR	108	
NA18501	YRI	Yoruba	African	AFR	108	
NA18502	YRI	Yoruba	African	AFR	108	
NA18504	YRI	Yoruba	African	AFR	108	
NA18505	YRI	Yoruba	African	AFR	108	
NA18507	YRI	Yoruba	African	AFR	108	
NA18508	YRI	Yoruba	African	AFR	108	
NA18510	YRI	Yoruba	African	AFR	108	
NA18511	YRI	Yoruba	African	AFR	108	
NA18516	YRI	Yoruba	African	AFR	108	
NA18517	YRI	Yoruba	African	AFR	108	
NA18519	YRI	Yoruba	African	AFR	108	
NA18520	YRI	Yoruba	African	AFR	108	
NA18522	YRI	Yoruba	African	AFR	108	
NA18523	YRI	Yoruba	African	AFR	108	
NA18853	YRI	Yoruba	African	AFR	108	
NA18856	YRI	Yoruba	African	AFR	108	
NA18858	YRI	Yoruba	African	AFR	108	
NA18861	YRI	Yoruba	African	AFR	108	
NA18864	YRI	Yoruba	African	AFR	108	
NA18865	YRI	Yoruba	African	AFR	108	
NA18867	YRI	Yoruba	African	AFR	108	
NA18868	YRI	Yoruba	African	AFR	108	
NA18870	YRI	Yoruba	African	AFR	108	
NA18871	YRI	Yoruba	African	AFR	108	
NA18873	YRI	Yoruba	African	AFR	108	
NA18874	YRI	Yoruba	African	AFR	108	
NA18876	YRI	Yoruba	African	AFR	108	
NA18877	YRI	Yoruba	African	AFR	108	
NA18878	YRI	Yoruba	African	AFR	108	
NA18879	YRI	Yoruba	African	AFR	108	
NA18881	YRI	Yoruba	African	AFR	108	
NA18907	YRI	Yoruba	African	AFR	108	
NA18908	YRI	Yoruba	African	AFR	108	
NA18909	YRI	Yoruba	African	AFR	108	
NA18910	YRI	Yoruba	African	AFR	108	
NA18912	YRI	Yoruba	African	AFR	108	
NA18915	YRI	Yoruba	African	AFR	108	
NA18916	YRI	Yoruba	African	AFR	108	
NA18917	YRI	Yoruba	African	AFR	108	
NA18923	YRI	Yoruba	African	AFR	108	
NA18924	YRI	Yoruba	African	AFR	108	
NA18933	YRI	Yoruba	African	AFR	108	
NA18934	YRI	Yoruba	African	AFR	108	
NA19092	YRI	Yoruba	African	AFR	108	
NA19093	YRI	Yoruba	African	AFR	108	
NA19095	YRI	Yoruba	African	AFR	108	
NA19096	YRI	Yoruba	African	AFR	108	
NA19098	YRI	Yoruba	African	AFR	108	
NA19099	YRI	Yoruba	African	AFR	108	
NA19102	YRI	Yoruba	African	AFR	108	
NA19107	YRI	Yoruba	African	AFR	108	
NA19108	YRI	Yoruba	African	AFR	108	
NA19113	YRI	Yoruba	African	AFR	108	
NA19114	YRI	Yoruba	African	AFR	108	
NA19116	YRI	Yoruba	African	AFR	108	
NA19117	YRI	Yoruba	African	AFR	108	
NA19119	YRI	Yoruba	African	AFR	108	
NA19121	YRI	Yoruba	African	AFR	108	
NA19129	YRI	Yoruba	African	AFR	108	
NA19130	YRI	Yoruba	African	AFR	108	
NA19131	YRI	Yoruba	African	AFR	108	
NA19137	YRI	Yoruba	African	AFR	108	
NA19138	YRI	Yoruba	African	AFR	108	
NA19141	YRI	Yoruba	African	AFR	108	
NA19143	YRI	Yoruba	African	AFR	108	
NA19144	YRI	Yoruba	African	AFR	108	
NA19146	YRI	Yoruba	African	AFR	108	
NA19147	YRI	Yoruba	African	AFR	108	
NA19149	YRI	Yoruba	African	AFR	108	
NA19152	YRI	Yoruba	African	AFR	108	
NA19153	YRI	Yoruba	African	AFR	108	
NA19159	YRI	Yoruba	African	AFR	108	
NA19160	YRI	Yoruba	African	AFR	108	
NA19171	YRI	Yoruba	African	AFR	108	
NA19172	YRI	Yoruba	African	AFR	108	
NA19175	YRI	Yoruba	African	AFR	108	
NA19184	YRI	Yoruba	African	AFR	108	
NA19185	YRI	Yoruba	African	AFR	108	
NA19189	YRI	Yoruba	African	AFR	108	
NA19190	YRI	Yoruba	African	AFR	108	
NA19197	YRI	Yoruba	African	AFR	108	
NA19198	YRI	Yoruba	African	AFR	108	
NA19200	YRI	Yoruba	African	AFR	108	
NA19201	YRI	Yoruba	African	AFR	108	
NA19204	YRI	Yoruba	African	AFR	108	
NA19206	YRI	Yoruba	African	AFR	108	
NA19207	YRI	Yoruba	African	AFR	108	
NA19209	YRI	Yoruba	African	AFR	108	
NA19210	YRI	Yoruba	African	AFR	108	
NA19213	YRI	Yoruba	African	AFR	108	
NA19214	YRI	Yoruba	African	AFR	108	
NA19222	YRI	Yoruba	African	AFR	108	
NA19223	YRI	Yoruba	African	AFR	108	
NA19225	YRI	Yoruba	African	AFR	108	
NA19235	YRI	Yoruba	African	AFR	108	
NA19236	YRI	Yoruba	African	AFR	108	
NA19238	YRI	Yoruba	African	AFR	108	
NA19239	YRI	Yoruba	African	AFR	108	
NA19247	YRI	Yoruba	African	AFR	108	
NA19248	YRI	Yoruba	African	AFR	108	
NA19256	YRI	Yoruba	African	AFR	108	
NA19257	YRI	Yoruba	African	AFR	108	
NA18525	CHB	Han Chinese	East Asian	EAS	103	
NA18526	CHB	Han Chinese	East Asian	EAS	103	
NA18531	CHB	Han Chinese	East Asian	EAS	103	
NA18532	CHB	Han Chinese	East Asian	EAS	103	
NA18533	CHB	Han Chinese	East Asian	EAS	103	
NA18534	CHB	Han Chinese	East Asian	EAS	103	
NA18536	CHB	Han Chinese	East Asian	EAS	103	
NA18537	CHB	Han Chinese	East Asian	EAS	103	
NA18542	CHB	Han Chinese	East Asian	EAS	103	
NA18543	CHB	Han Chinese	East Asian	EAS	103	
NA18544	CHB	Han Chinese	East Asian	EAS	103	
NA18545	CHB	Han Chinese	East Asian	EAS	103	
NA18546	CHB	Han Chinese	East Asian	EAS	103	
NA18547	CHB	Han Chinese	East Asian	EAS	103	
NA18548	CHB	Han Chinese	East Asian	EAS	103	
NA18549	CHB	Han Chinese	East Asian	EAS	103	
NA18550	CHB	Han Chinese	East Asian	EAS	103	
NA18552	CHB	Han Chinese	East Asian	EAS	103	
NA18555	CHB	Han Chinese	East Asian	EAS	103	
NA18557	CHB	Han Chinese	East Asian	EAS	103	
NA18558	CHB	Han Chinese	East Asian	EAS	103	
NA18559	CHB	Han Chinese	East Asian	EAS	103	
NA18560	CHB	Han Chinese	East Asian	EAS	103	
NA18563	CHB	Han Chinese	East Asian	EAS	103	
NA18565	CHB	Han Chinese	East Asian	EAS	103	
NA18566	CHB	Han Chinese	East Asian	EAS	103	
NA18567	CHB	Han Chinese	East Asian	EAS	103	
NA18570	CHB	Han Chinese	East Asian	EAS	103	
NA18571	CHB	Han Chinese	East Asian	EAS	103	
NA18572	CHB	Han Chinese	East Asian	EAS	103	
NA18573	CHB	Han Chinese	East Asian	EAS	103	
NA18574	CHB	Han Chinese	East Asian	EAS	103	
NA18577	CHB	Han Chinese	East Asian	EAS	103	
NA18579	CHB	Han Chinese	East Asian	EAS	103	
NA18582	CHB	Han Chinese	East Asian	EAS	103	
NA18591	CHB	Han Chinese	East Asian	EAS	103	
NA18592	CHB	Han Chinese	East Asian	EAS	103	
NA18593	CHB	Han Chinese	East Asian	EAS	103	
NA18595	CHB	Han Chinese	East Asian	EAS	103	
NA18596	CHB	Han Chinese	East Asian	EAS	103	
NA18597	CHB	Han Chinese	East Asian	EAS	103	
NA18603	CHB	Han Chinese	East Asian	EAS	103	
NA18605	CHB	Han Chinese	East Asian	EAS	103	
NA18606	CHB	Han Chinese	East Asian	EAS	103	
NA18610	CHB	Han Chinese	East Asian	EAS	103	
NA18611	CHB	Han Chinese	East Asian	EAS	103	
NA18612	CHB	Han Chinese	East Asian	EAS	103	
NA18614	CHB	Han Chinese	East Asian	EAS	103	
NA18615	CHB	Han Chinese	East Asian	EAS	103	
NA18616	CHB	Han Chinese	East Asian	EAS	103	
NA18617	CHB	Han Chinese	East Asian	EAS	103	
NA18621	CHB	Han Chinese	East Asian	EAS	103	
NA18622	CHB	Han Chinese	East Asian	EAS	103	
NA18624	CHB	Han Chinese	East Asian	EAS	103	
NA18625	CHB	Han Chinese	East Asian	EAS	103	
NA18627	CHB	Han Chinese	East Asian	EAS	103	
NA18628	CHB	Han Chinese	East Asian	EAS	103	
NA18629	CHB	Han Chinese	East Asian	EAS	103	
NA18630	CHB	Han Chinese	East Asian	EAS	103	
NA18631	CHB	Han Chinese	East Asian	EAS	103	
NA18632	CHB	Han Chinese	East Asian	EAS	103	
NA18633	CHB	Han Chinese	East Asian	EAS	103	
NA18634	CHB	Han Chinese	East Asian	EAS	103	
NA18636	CHB	Han Chinese	East Asian	EAS	103	
NA18637	CHB	Han Chinese	East Asian	EAS	103	
NA18638	CHB	Han Chinese	East Asian	EAS	103	
NA18639	CHB	Han Chinese	East Asian	EAS	103	
